"contract_year","department","entries_above_25k","entries_below_25k"
"2020","Immigration and Refugee Board of Canada","150","197"
"2020","Immigration, Refugees and Citizenship Canada","550","146"
"2020","Impact Assessment Agency of Canada","35","21"
"2020","Indigenous Services Canada","472","380"
"2020","Innovation, Science and Economic Development Canada","537","459"
"2020","International Joint Commission","14","23"
"2020","Invest in Canada","1","0"
"2020","Library and Archives Canada","33","49"
"2020","Military Grievances External Review Committee","4","10"
"2020","Military Police Complaints Commission of Canada","5","17"
"2020","National Defence","6197","7547"
"2020","National Film Board","68","90"
"2020","National Research Council Canada","1010","1550"
"2020","National Security and Intelligence Review Agency","12","14"
"2020","Natural Resources Canada","690","807"
"2020","Natural Sciences and Engineering Research Council of Canada","82","51"
"2020","Office of the Auditor General of Canada","118","92"
"2020","Office of the Commissioner for Federal Judicial Affairs Canada","18","46"
"2020","Office of the Commissioner of Lobbying of Canada","8","5"
"2020","Office of the Commissioner of Official Languages","22","18"
"2020","Office of the Information Commissioner of Canada","14","16"
"2020","Office of the Intelligence Commissioner","2","1"
"2020","Office of the Privacy Commissioner of Canada","40","45"
"2020","Office of the Public Sector Integrity Commissioner of Canada","6","10"
"2020","Office of the Secretary to the Governor General","19","21"
"2020","Office of the Superintendent of Financial Institutions Canada","104","92"
"2020","Parks Canada","951","1179"
"2021","Accessibility Standards Canada","21","8"
"2021","Administrative Tribunals Support Service of Canada","61","28"
"2021","Agriculture and Agri-Food Canada","585","1083"
"2021","Atlantic Canada Opportunities Agency","35","42"
"2021","Canada Border Services Agency","720","347"
"2021","Canada Economic Development for Quebec Regions","26","19"
"2021","Canada Energy Regulator","123","33"
"2021","Canada Revenue Agency","461","196"
"2021","Canada School of Public Service","36","25"
"2021","Canadian Centre for Occupational Health and Safety","6","14"
"2021","Canadian Food Inspection Agency","350","185"
"2021","Canadian Grain Commission","69","41"
"2021","Canadian Heritage","192","162"
"2021","Canadian Human Rights Commission","61","56"
"2021","Canadian Institutes of Health Research","52","38"
"2021","Canadian Intergovernmental Conference Secretariat","2","7"
"2021","Canadian Northern Economic Development Agency","3","5"
"2021","Canadian Nuclear Safety Commission","97","75"
"2021","Canadian Radio-television and Telecommunications Commission","40","48"
"2021","Canadian Space Agency","182","114"
"2021","Canadian Transportation Agency","37","21"
"2021","Civilian Review and Complaints Commission for the RCMP","8","9"
"2021","Correctional Service of Canada","1700","1857"
"2021","Courts Administration Service","156","103"
"2021","Crown-Indigenous Relations and Northern Affairs Canada","130","58"
"2021","Department of Finance Canada","49","38"
"2021","Department of Housing, Infrastructure and Communities","83","26"
"2021","Department of Justice Canada","155","142"
"2021","Elections Canada","131","94"
"2021","Employment and Social Development Canada","1228","331"
"2021","Environment and Climate Change Canada","1227","1086"
"2021","Federal Economic Development Agency for Northern Ontario","1","2"
"2021","Federal Economic Development Agency for Southern Ontario","21","11"
"2021","Financial Consumer Agency of Canada","36","26"
"2021","Financial Transactions and Reports Analysis Centre of Canada","75","48"
"2021","Fisheries and Oceans Canada","3070","2637"
"2021","Global Affairs Canada","1529","1945"
"2021","Health Canada","684","523"
"2021","Immigration and Refugee Board of Canada","123","173"
"2021","Immigration, Refugees and Citizenship Canada","643","126"
"2021","Impact Assessment Agency of Canada","23","15"
"2021","Indigenous Services Canada","515","328"
"2021","Innovation, Science and Economic Development Canada","843","463"
"2021","International Joint Commission","12","18"
"2021","Invest in Canada","61","13"
"2021","Library and Archives Canada","41","36"
"2021","Military Grievances External Review Committee","3","8"
"2021","Military Police Complaints Commission of Canada","3","14"
"2021","National Defence","7119","8226"
"2021","National Film Board","101","136"
"2021","National Research Council Canada","1045","1578"
"2021","National Security and Intelligence Review Agency","20","14"
"2021","Natural Resources Canada","804","979"
"2021","Natural Sciences and Engineering Research Council of Canada","54","41"
"2021","Office of the Auditor General of Canada","100","100"
"2021","Office of the Commissioner for Federal Judicial Affairs Canada","34","41"
"2021","Office of the Commissioner of Lobbying of Canada","7","12"
"2021","Office of the Commissioner of Official Languages","26","24"
"2021","Office of the Information Commissioner of Canada","16","4"
"2021","Office of the Intelligence Commissioner","1","1"
"2021","Office of the Privacy Commissioner of Canada","34","29"
"2021","Office of the Public Sector Integrity Commissioner of Canada","11","8"
"2021","Office of the Secretary to the Governor General","17","24"
"2021","Office of the Superintendent of Financial Institutions Canada","114","73"
"2021","Pacific Economic Development Canada","5","4"
"2021","Parks Canada","1069","1304"
"2022","Accessibility Standards Canada","38","7"
"2022","Administrative Tribunals Support Service of Canada","29","41"
"2022","Agriculture and Agri-Food Canada","552","1023"
"2022","Atlantic Canada Opportunities Agency","38","40"
"2022","Canada Border Services Agency","666","450"
"2022","Canada Economic Development for Quebec Regions","40","22"
"2022","Canada Energy Regulator","105","34"
"2022","Canada Revenue Agency","796","207"
"2022","Canada School of Public Service","58","36"
"2022","Canadian Centre for Occupational Health and Safety","12","24"
"2022","Canadian Food Inspection Agency","453","260"
"2022","Canadian Grain Commission","42","43"
"2022","Canadian Heritage","243","166"
"2022","Canadian Human Rights Commission","48","47"
"2022","Canadian Institutes of Health Research","56","37"
"2022","Canadian Intergovernmental Conference Secretariat","10","41"
"2022","Canadian Northern Economic Development Agency","7","4"
"2022","Canadian Nuclear Safety Commission","80","67"
"2022","Canadian Radio-television and Telecommunications Commission","39","23"
"2022","Canadian Space Agency","174","110"
"2022","Canadian Transportation Agency","26","24"
"2022","Civilian Review and Complaints Commission for the RCMP","8","12"
"2022","Correctional Service of Canada","2066","2070"
"2022","Courts Administration Service","134","109"
"2022","Crown-Indigenous Relations and Northern Affairs Canada","200","64"
"2022","Department of Finance Canada","66","51"
"2022","Department of Housing, Infrastructure and Communities","81","26"
"2022","Department of Justice Canada","176","164"
"2022","Elections Canada","148","89"
"2022","Employment and Social Development Canada","926","309"
"2022","Environment and Climate Change Canada","1410","1054"
"2022","Farm Products Council of Canada","1","1"
"2022","Federal Economic Development Agency for Northern Ontario","3","5"
"2022","Federal Economic Development Agency for Southern Ontario","24","18"
"2022","Financial Consumer Agency of Canada","40","33"
"2022","Financial Transactions and Reports Analysis Centre of Canada","70","46"
"2022","Fisheries and Oceans Canada","3546","3581"
"2022","Global Affairs Canada","1615","1887"
"2022","Health Canada","742","607"
"2022","Immigration and Refugee Board of Canada","168","276"
"2022","Immigration, Refugees and Citizenship Canada","726","100"
"2022","Impact Assessment Agency of Canada","32","25"
"2022","Indigenous Services Canada","473","331"
"2022","Innovation, Science and Economic Development Canada","906","489"
"2022","International Joint Commission","19","17"
"2022","Invest in Canada","76","39"
"2022","Library and Archives Canada","67","52"
"2022","Military Grievances External Review Committee","3","5"
"2022","Military Police Complaints Commission of Canada","5","9"
"2022","National Defence","7896","8324"
"2022","National Film Board","78","115"
"2022","National Gallery of Canada","1","0"
"2022","National Research Council Canada","1036","1529"
"2022","National Security and Intelligence Review Agency","15","6"
"2022","Natural Resources Canada","1048","862"
"2022","Natural Sciences and Engineering Research Council of Canada","60","55"
"2022","Office of the Auditor General of Canada","83","88"
"2022","Office of the Commissioner for Federal Judicial Affairs Canada","31","59"
"2022","Office of the Commissioner of Lobbying of Canada","9","4"
"2022","Office of the Commissioner of Official Languages","16","18"
"2022","Office of the Information Commissioner of Canada","6","10"
"2022","Office of the Intelligence Commissioner","1","1"
"2022","Office of the Privacy Commissioner of Canada","27","41"
"2022","Office of the Public Sector Integrity Commissioner of Canada","9","3"
"2022","Office of the Secretary to the Governor General","21","23"
"2022","Office of the Superintendent of Financial Institutions Canada","121","68"
"2022","Pacific Economic Development Canada","16","9"
"2022","Parks Canada","561","705"
"2023","Accessibility Standards Canada","33","9"
"2023","Administrative Tribunals Support Service of Canada","34","61"
"2023","Agriculture and Agri-Food Canada","544","1068"
"2023","Atlantic Canada Opportunities Agency","24","27"
"2023","Canada Border Services Agency","493","188"
"2023","Canada Economic Development for Quebec Regions","23","27"
"2023","Canada Energy Regulator","63","45"
"2023","Canada Revenue Agency","431","216"
"2023","Canada School of Public Service","59","37"
"2023","Canadian Centre for Occupational Health and Safety","11","18"
"2023","Canadian Food Inspection Agency","400","267"
"2023","Canadian Grain Commission","40","63"
"2023","Canadian Heritage","170","130"
"2023","Canadian Human Rights Commission","70","45"
"2023","Canadian Institutes of Health Research","82","45"
"2023","Canadian Intergovernmental Conference Secretariat","17","42"
"2023","Canadian Nuclear Safety Commission","66","59"
"2023","Canadian Radio-television and Telecommunications Commission","48","45"
"2023","Canadian Space Agency","181","123"
"2023","Canadian Transportation Agency","34","34"
"2023","Civilian Review and Complaints Commission for the RCMP","25","15"
"2023","Correctional Service of Canada","2130","2349"
"2023","Courts Administration Service","131","95"
"2023","Crown-Indigenous Relations and Northern Affairs Canada","212","76"
"2023","Department of Finance Canada","76","47"
"2023","Department of Housing, Infrastructure and Communities","69","28"
"2023","Department of Justice Canada","209","186"
"2023","Elections Canada","162","76"
"2023","Employment and Social Development Canada","740","301"
"2023","Environment and Climate Change Canada","1376","940"
"2023","Farm Products Council of Canada","0","1"
"2023","Federal Economic Development Agency for Northern Ontario","4","5"
"2023","Federal Economic Development Agency for Southern Ontario","22","12"
"2023","Financial Consumer Agency of Canada","46","33"
"2023","Financial Transactions and Reports Analysis Centre of Canada","67","37"
"2023","Fisheries and Oceans Canada","3135","3483"
"2023","Global Affairs Canada","1616","1791"
"2023","Health Canada","749","468"
"2023","Immigration and Refugee Board of Canada","229","191"
"2023","Immigration, Refugees and Citizenship Canada","765","97"
"2023","Impact Assessment Agency of Canada","37","42"
"2023","Indigenous Services Canada","538","401"
"2023","Innovation, Science and Economic Development Canada","692","439"
"2023","International Joint Commission","19","12"
"2023","Invest in Canada","66","30"
"2023","Law Commission of Canada","1","1"
"2023","Library and Archives Canada","95","78"
"2023","Military Grievances External Review Committee","0","7"
"2023","Military Police Complaints Commission of Canada","4","18"
"2023","National Defence","7968","9005"
"2023","National Film Board","63","103"
"2023","National Research Council Canada","1056","1498"
"2023","National Security and Intelligence Review Agency","15","3"
"2023","Natural Resources Canada","1095","799"
"2023","Natural Sciences and Engineering Research Council of Canada","55","38"
"2023","Office of the Auditor General of Canada","123","69"
"2023","Office of the Commissioner for Federal Judicial Affairs Canada","26","42"
"2023","Office of the Commissioner of Lobbying of Canada","6","3"
"2023","Office of the Commissioner of Official Languages","15","23"
"2023","Office of the Information Commissioner of Canada","21","18"
"2023","Office of the Intelligence Commissioner","1","1"
"2023","Office of the Privacy Commissioner of Canada","38","27"
"2023","Office of the Public Sector Integrity Commissioner of Canada","11","7"
"2023","Office of the Secretary to the Governor General","7","18"
"2023","Office of the Superintendent of Financial Institutions Canada","173","88"
"2023","Pacific Economic Development Canada","22","11"
"2024","Accessibility Standards Canada","40","6"
"2024","Administrative Tribunals Support Service of Canada","31","39"
"2024","Agriculture and Agri-Food Canada","574","1021"
"2024","Atlantic Canada Opportunities Agency","27","51"
"2024","Canada Border Services Agency","386","176"
"2024","Canada Economic Development for Quebec Regions","20","27"
"2024","Canada Energy Regulator","55","39"
"2024","Canada Revenue Agency","295","197"
"2024","Canada School of Public Service","31","21"
"2024","Canada Water Agency","4","5"
"2024","Canadian Centre for Occupational Health and Safety","14","12"
"2024","Canadian Food Inspection Agency","308","209"
"2024","Canadian Grain Commission","47","54"
"2024","Canadian Heritage","210","160"
"2024","Canadian Human Rights Commission","32","21"
"2024","Canadian Institutes of Health Research","30","26"
"2024","Canadian Intergovernmental Conference Secretariat","10","45"
"2024","Canadian Northern Economic Development Agency","0","1"
"2024","Canadian Nuclear Safety Commission","66","74"
"2024","Canadian Radio-television and Telecommunications Commission","57","51"
"2024","Canadian Space Agency","157","99"
"2024","Canadian Transportation Agency","25","22"
"2024","Civilian Review and Complaints Commission for the RCMP","11","15"
"2024","Correctional Service of Canada","1907","2010"
"2024","Courts Administration Service","114","82"
"2024","Crown-Indigenous Relations and Northern Affairs Canada","189","65"
"2024","Department of Finance Canada","52","39"
"2024","Department of Housing, Infrastructure and Communities","68","25"
"2024","Department of Justice Canada","231","183"
"2024","Elections Canada","105","91"
"2024","Employment and Social Development Canada","794","301"
"2024","Environment and Climate Change Canada","1312","906"
"2024","Farm Products Council of Canada","0","4"
"2024","Federal Economic Development Agency for Northern Ontario","7","0"
"2024","Federal Economic Development Agency for Southern Ontario","15","10"
"2024","Financial Consumer Agency of Canada","38","30"
"2024","Financial Transactions and Reports Analysis Centre of Canada","58","43"
"2024","Fisheries and Oceans Canada","3375","4346"
"2024","Global Affairs Canada","1633","1716"
"2024","Health Canada","529","376"
"2024","Immigration and Refugee Board of Canada","203","441"
"2024","Immigration, Refugees and Citizenship Canada","575","91"
"2024","Impact Assessment Agency of Canada","44","50"
"2024","Indigenous Services Canada","475","385"
"2024","Innovation, Science and Economic Development Canada","606","324"
"2024","International Joint Commission","27","19"
"2024","Invest in Canada","38","23"
"2024","Law Commission of Canada","2","4"
"2024","Library and Archives Canada","82","67"
"2024","Military Grievances External Review Committee","4","5"
"2024","Military Police Complaints Commission of Canada","4","15"
"2024","National Defence","6809","8259"
"2024","National Film Board","79","127"
"2024","National Gallery of Canada","81","123"
"2024","National Research Council Canada","1280","1523"
"2024","National Security and Intelligence Review Agency","8","6"
"2024","Natural Resources Canada","1062","868"
"2024","Natural Sciences and Engineering Research Council of Canada","41","30"
"2024","Office of the Auditor General of Canada","72","76"
"2024","Office of the Commissioner for Federal Judicial Affairs Canada","25","50"
"2024","Office of the Commissioner of Lobbying of Canada","6","2"
"2024","Office of the Commissioner of Official Languages","22","30"
"2024","Office of the Information Commissioner of Canada","10","10"
"2024","Office of the Intelligence Commissioner","1","0"
"2024","Office of the Privacy Commissioner of Canada","38","39"
"2024","Office of the Public Sector Integrity Commissioner of Canada","6","11"
"2024","Office of the Secretary to the Governor General","18","26"
"2024","Office of the Superintendent of Financial Institutions Canada","91","36"
"2024","Pacific Economic Development Canada","1","2"
"2025","Accessibility Standards Canada","42","5"
"2025","Administrative Tribunals Support Service of Canada","34","32"
"2025","Agriculture and Agri-Food Canada","517","934"
"2025","Atlantic Canada Opportunities Agency","23","26"
"2025","Canada Border Services Agency","423","188"
"2025","Canada Economic Development for Quebec Regions","12","12"
"2025","Canada Energy Regulator","72","37"
"2025","Canada Revenue Agency","207","145"
"2025","Canada School of Public Service","53","42"
"2025","Canada Water Agency","38","9"
"2025","Canadian Centre for Occupational Health and Safety","12","15"
"2025","Canadian Food Inspection Agency","269","243"
"2025","Canadian Grain Commission","50","53"
"2025","Canadian Heritage","192","102"
"2025","Canadian Human Rights Commission","32","21"
"2025","Canadian Institutes of Health Research","28","22"
"2025","Canadian Intergovernmental Conference Secretariat","3","44"
"2025","Canadian Nuclear Safety Commission","78","81"
"2025","Canadian Radio-television and Telecommunications Commission","68","43"
"2025","Canadian Space Agency","135","74"
"2025","Canadian Transportation Agency","16","19"
"2025","Civilian Review and Complaints Commission for the RCMP","14","14"
"2025","Correctional Service of Canada","1984","2218"
"2025","Courts Administration Service","101","72"
"2025","Crown-Indigenous Relations and Northern Affairs Canada","209","68"
"2025","Department of Finance Canada","56","45"
"2025","Department of Housing, Infrastructure and Communities","83","13"
"2025","Department of Justice Canada","163","178"
"2025","Elections Canada","104","86"
"2025","Employment and Social Development Canada","733","319"
"2025","Environment and Climate Change Canada","1026","692"
"2025","Federal Economic Development Agency for Northern Ontario","6","2"
"2025","Federal Economic Development Agency for Southern Ontario","10","12"
"2025","Financial Consumer Agency of Canada","38","33"
"2025","Financial Transactions and Reports Analysis Centre of Canada","35","19"
"2025","Fisheries and Oceans Canada","2704","3911"
"2025","Global Affairs Canada","1813","1962"
"2025","Health Canada","432","363"
"2025","Immigration and Refugee Board of Canada","223","364"
"2025","Immigration, Refugees and Citizenship Canada","428","63"
"2025","Impact Assessment Agency of Canada","21","42"
"2025","Indigenous Services Canada","338","258"
"2025","Innovation, Science and Economic Development Canada","472","268"
"2025","International Joint Commission","15","11"
"2025","Invest in Canada","32","22"
"2025","Law Commission of Canada","0","4"
"2025","Library and Archives Canada","49","30"
"2025","Military Grievances External Review Committee","1","11"
"2025","Military Police Complaints Commission of Canada","6","11"
"2025","National Defence","7802","11013"
"2025","National Film Board","105","193"
"2025","National Gallery of Canada","79","129"
"2025","National Research Council Canada","1221","1399"
"2025","National Security and Intelligence Review Agency","2","1"
"2025","Natural Resources Canada","937","732"
"2025","Natural Sciences and Engineering Research Council of Canada","41","35"
"2025","Office of the Auditor General of Canada","90","53"
"2025","Office of the Commissioner for Federal Judicial Affairs Canada","23","50"
"2025","Office of the Commissioner of Lobbying of Canada","7","5"
"2025","Office of the Commissioner of Official Languages","14","29"
"2025","Office of the Information Commissioner of Canada","5","5"
"2025","Office of the Intelligence Commissioner","1","1"
"2025","Office of the Privacy Commissioner of Canada","27","24"
"2025","Office of the Public Sector Integrity Commissioner of Canada","3","15"
"2025","Office of the Secretary to the Governor General","11","33"
"2025","Office of the Superintendent of Financial Institutions Canada","111","32"
"2025","Pacific Economic Development Canada","8","10"
"2026","Canada Border Services Agency","1","0"
"2026","National Gallery of Canada","9","8"
"2029","Elections Canada","0","1"
